Metric,rag,popularity,static,dynamic,data
avg_rouge1,0.346031746031746,,,,
avg_rouge2,0.26142857142857145,,,,
avg_rougeL,0.346031746031746,,,,
pricing_gini_coefficient,,0.34816044854721045,0.09033591731266151,,
pricing_pearson_correlation,,0.07024157593511778,0.17707791867965322,,
pricing_price_volatility,,0.5696533423467333,6.938893903907228e-18,,
pricing_rewards_gini,,0.20923366396986895,0.19944925255704174,,
pricing_spearman_correlation,,0.04906911550114651,0.19887359235687754,,
pricing_total_rewards,,1153.793433713104,63.550000000000004,,
rag_valuation_gini_coefficient,,,,0.15449261917365006,
rag_valuation_pearson_correlation,,,,0.3640283328166919,
rag_valuation_price_volatility,,,,0.009892413949952822,
rag_valuation_rewards_gini,,,,0.2117370186927078,
rag_valuation_spearman_correlation,,,,0.45254065034179153,
rag_valuation_total_rewards,,,,244.05198227855175,
shapley_gini_coefficient,,,,,
shapley_pearson_correlation,,,,,
shapley_price_volatility,,,,,0.0
shapley_rewards_gini,,,,,0.2024
shapley_spearman_correlation,,,,,
shapley_total_rewards,,,,,25.000000000000007
